What is the primary goal of the playbook outlined in Chapter 7?,To provide a step-by-step guide for building an Agile Bank without trying to change everything at once.
"The playbook advises against the approach of '_____ the ocean,' which means trying to change everything at once.",boiling
What is the first phase of the digital transformation playbook?,The Launch: Starting Small.
"Instead of a full program, what does the Lighthouse Strategy advocate for starting with?",A pilot project.
What term is used to describe the ideal characteristics for a pilot project?,The 'Goldilocks Zone'.
What are the two defining characteristics of a pilot project in the 'Goldilocks Zone'?,High Pain and Manageable Risk.
What is the purpose of establishing a 'Regulatory Sandbox' for a pilot team?,To create a 'Bubble' that protects the team from corporate antibodies.
What is the second phase of the digital transformation playbook?,The Execution: Proving Value.
What is the '90-Day Rule' in the context of a transformation pilot?,The rule that you must ship working software in the first quarter.
What specific tool is mentioned for managing the execution phase of a pilot project?,The 90-Day Lighthouse Charter.
What is the third phase of the digital transformation playbook?,The Scale: From Pilot to Enterprise.
"What two negative outcomes must be avoided when scaling, according to the playbook?",The 'Scale Trap' and the 'J-Curve of despair'.
What model is proposed for scaling the new way of working so other teams can easily adopt it?,The 'Franchise' Model.
What is the role of a Center of Excellence (CoE) in scaling a transformation?,To act as a service provider that paves the road for new teams.
What geometric progression is suggested for the scaling roadmap?,A progression of $1 \to 3 \to 10 \to All$ teams.
What is the fourth phase of the digital transformation playbook?,The Clean-Up.
What does the phrase 'Killing the Zombies' refer to in the clean-up phase?,Shutting down failing legacy projects to fund the future.
What is the single most important piece of advice from the 'IF YOU REMEMBER NOTHING ELSE' section?,Donâ€™t Boil the Ocean; Build a Lighthouse.
"According to the playbook, why do most 'Big Bang' transformations fail?",The immune system of the legacy bank will kill a massive change.
"The Lighthouse Strategy is summarized as starting with one small, high-pain pilot protected inside a '_____'.",Bubble
What is the key takeaway regarding the 90-Day Rule?,Proof beats PowerPoint; you must ship real value to real customers.
"When scaling, what should be copied and pasted instead of the team itself?",The standards for the new way of working.
A Center of Excellence helps scaling by building a '_____' that makes it easy for new teams to do the right thing.,Golden Path
"What is the common, yet flawed, theme for Year 1 of a typical bank's transformation roadmap?",'Foundations & Modernization'.
"What is the common, yet flawed, theme for Year 2 of a typical bank's transformation roadmap?",'Migration & Scaling'.
The 'Big Bang' approach to transformation ignores the complexity of a bank's ____ system.,immune
What existing problem can strangle a 'Big Bang' transformation initiative before it even starts?,Cultural Debt.
"What is the correct mantra for a successful transformation, contrasting with the 'Big Bang' approach?","Think Big, Start Small, Scale Fast."
What is the first of two purposes for a Lighthouse project?,Proof of Value: It proves the new way of working produces better results.
What is the second of two purposes for a Lighthouse project?,Beacon of Hope: It shows the rest of the organization what 'Good' looks like.
"Instead of pushing a transformation onto the organization, what effect should a Lighthouse project create?",A gravitational pull for it.
"In the ABN AMRO case study, what was the name of the viral payment app they created?",Tikkie.
What was the simple pain point that the Tikkie app was built to solve?,Splitting restaurant bills.
The success of Tikkie was so significant that it became a verb in what country?,The Netherlands.
What was the internal cultural impact of Tikkie's success at ABN AMRO?,"It broke the psychological barrier of what was possible, changing the conversation from 'We can't' to 'Why can't we?'."
Concept: Cultural ROI,"The strategic value derived from the positive impact a project has on an organization's confidence, mindset, and culture."
"In the Tikkie case study, why was the 'Cultural ROI' considered more important than the transaction fees?","It proved to 20,000 employees that their bank could be cool, fast, and digital, fueling future transformation."